name,data,depr_data
python3-module-nest-asyncio,[],[]
python3-module-netaddr,[],[]
python3-module-netdisco,[],[]
python3-module-netifaces,"[""python3(netifaces)""]",[]
python3-module-netkit,[],[]
python3-module-netlib,"[""python3(netlib)""]",[]
python3-module-netort,[],[]
python3-module-networkmanager,[],[]
python3-module-networkx,[],[]
python3-module-nibabel,[],[]
python3-module-nine,[],[]
python3-module-nitime,[],[]
python3-module-progress,"[""python3(progress)""]","[""python3(progress)""]"
python3-module-progressbar2,[],[]
python3-module-prometheus_client,[],[]
python3-module-prompt_toolkit,[],[]
python3-module-proteus,"[""python2.7(proteus)""]",[]
guile-evms,[],[]
python3-module-qtconsole,"[""python3(qtconsole)""]","[""python3(qtconsole)""]"
python3-module-qtpy,[],[]
python3-module-rabbitpy,[],[]
python3-module-radar,"[""python3(radar)""]",[]
python3-module-radon,[],[]
perl-Filesys-Statvfs,[],[]
perl-Filter,[],[]
perl-Filter-Simple,[],[]
perl-Parse-Template,[],[]
emacs-mode-psgml,[],[]
emacs-muse-mode,[],[]
emacs-nxml-mode,[],[]
emacs-pov-mode,[],[]
emacs-prog-modes,[],[]
emacs-rbook,[],[]
emacs-template,[],[]
emacs-text-modes,[],[]
emacs-tnt,[],[]
emacs-xslt-process,[],[]
emacs-xtla,"[""xtla""]","[""xtla""]"
emacspeak,[],[]
embree,[],[]
emelfm2,[],[]
emma,[],[]
emonoda,"[""rtfetch""]","[""rtfetch""]"
empathy,"[""libempathy"",""libempathy-gtk"",""python-module-empathy""]","[""libempathylibempathy-gtkpython-module-empathy""]"
empty,[],[]
emu51,[],[]
emu8051,[],[]
enblend,[],[]
enca,"[""enca""]",[]
enchant,[],[]
enchant2,[],[]
encled,[],[]
enconvmv,[],[]
encspot,[],[]
engcom,"[""engcom"",""engcom-mova""]","[""engcomengcom-mova""]"
enigma,[],[]
enlightenment-module-desksanity,[],[]
enscript,[],[]
ensmallen,[],[]
entangle,[],[]
enum,[],[]
environment-modules,"[""environment(modules)""]",[]
enyo-doom,[],[]
eog,"[""eog2""]","[""eog2""]"
eog-plugins,[],[]
epdfview,[],[]
eperiodique,[],[]
ephoto,[],[]
eppic,[],[]
epsidm24-secc0001,"[""epsidm24-secc0001""]",[]
epsoneplijs,[],[]
epsonscan2,[],[]
epstool,[],[]
epubcheck,[],[]
eresi,[],[]
eric6,[],[]
erlang-base64url,[],[]
erlang-eimp,[],[]
erlang-epam,[],[]
erlang-esip,[],[]
erlang-ezlib,[],[]
erlang-fast_xml,[],[]
erlang-fast_yaml,[],[]
erlang-goldrush,[],[]
erlang-idna,[],[]
erlang-jiffy,[],[]
erlang-jose,[],[]
erlang-lager,[],[]
erlang-luerl,[],[]
erlang-mqtree,[],[]
f3,[],[]
python3-module-nose-exclude,[],[]
python3-module-nose-logpertest,"[""python3(nose_logpertest)""]","[""python3(nose_logpertest)""]"
python3-module-nose-random,[],[]
python3-module-nose-testconfig,"[""python3(testconfig)""]",[]
python3-module-nose-watch,"[""python3(nosewatch)""]","[""python3(nosewatch)""]"
python3-module-nose_fixes,"[""python3(nose_fixes)""]","[""python3(nose_fixes)""]"
python3-module-nosepipe,"[""python3(nosepipe)""]","[""python3(nosepipe)""]"
python3-module-notebook,[],[]
python3-module-notify2,"[""python3(notify2)""]",[]
python3-module-novaclient,"[""python-module-novaclient""]",[]
python3-module-nss,"[""python3(nss)""]","[""python3(nss)""]"
python3-module-nulltype,[],[]
TheButterflyEffect,[],[]
admx-basealt,[],[]
alacritty,[],[]
