name,data
f2fs-tools,"[""  dump.f2fs"",""  f2fs-utils"",""  fsck.f2fs"",""  mkfs.f2fs""]"
f3,[]
perl-Filesys-Statvfs,[]
emacs-mode-haskell,"["" emacs-haskell-mode""]"
emacs-mode-psgml,[]
emacs-muse-mode,[]
emacs-nxml-mode,[]
emacs-ocaml,[]
emacs-pov-mode,[]
perl-Filter,[]
perl-Filter-Simple,[]
libvsqlite%2B%2B,"["""",""  vsqlite++"",""  vsqlite++-devel"",""  vsqlite++-doc""]"
emacs-prog-modes,[]
emacs-rbook,[]
emacs-sml-mode,[]
emacs-template,[]
emacs-text-modes,[]
emacs-tnt,[]
emacs-wiki,[]
emacs-xslide,"[""  emacs-mode-xslide"","" emacs-mode-xslide""]"
emacs-xslt-process,[]
emacs-xtla,"["" xtla""]"
